
{'EVT':{'Adc': [[21, 22, 22, 21, 21, 22, 22, 20], [562, 562, 566, 566, 566, 566, 589, 589]], 'Frq': 41998676, 'Evt': 2, 'Tks': 6986, 'Etm': 155923.1059125}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 16:08:23 2016'}}*{'SQN':{'Sqn': 96}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[21, 21, 20, 20, 23, 23, 21, 21], [562, 566, 566, 569, 569, 579, 579, 580]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4392867, 'Etm': 155935.1045954}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 16:08:23 2016'}}*{'SQN':{'Sqn': 97}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[20, 20, 22, 22, 20, 20, 19, 19], [552, 565, 565, 567, 567, 547, 547, 590]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4443604, 'Etm': 160023.1058034}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 16:08:23 2016'}}*{'SQN':{'Sqn': 98}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[38, 38, 40, 40, 39, 39, 38, 38], [572, 578, 578, 579, 579, 585, 585, 590]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4414699, 'Etm': 160223.1051152}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 16:08:24 2016'}}*{'SQN':{'Sqn': 99}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[37, 37, 37, 36, 36, 35, 35, 34], [569, 569, 575, 575, 575, 575, 596, 596]], 'Frq': 41998677, 'Evt': 2, 'Tks': 424, 'Etm': 160223.1051253}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 16:08:24 2016'}}*{'SQN':{'Sqn': 100}} - ('81.28.206.54', 57178)
